id,trait,experience_band,question,answer_text,empathy_score,structure_score,positivity_score,ownership_score,target_score,target_label
742,Communication,fresher,How do you explain complex work to non-technical people?,"In a university project, I used a simple STAR structure. I focused on updates, audience, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",94,86,71,79,60,fail
743,Collaboration,industry_veteran,Tell me about a time you worked with a difficult team situation.,"In my last project, I clarified the task, listened to concerns, took ownership of my part, used support, team, and measured the result. I also reflected on what I would improve next time. I shared the learning with others.",81,86,88,85,67,fail
744,Attention to detail,mid_level_expert,How do you review your work before delivery?,"In my last project, I used a simple STAR structure. I focused on checklist, edge cases, review, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",70,71,87,54,62,fail
745,Collaboration,senior_professional,How do you support teammates during pressure?,"During a team task, I clarified the action, listened to concerns, took ownership of my part, used support, listen, feedback, align, and measured the result. I also reflected on what I would improve next time. I kept the discussion respectful.",46,77,93,73,91,pass
746,Communication,industry_veteran,Describe a time clear communication helped a project.,"During a sprint review, I used a simple STAR structure. I focused on questions, audience, simple language, clarify, updates, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",63,68,47,70,50,fail
747,Collaboration,junior_professional,Tell me about a time you worked with a difficult team situation.,"During a team task, I clarified the action, listened to concerns, took ownership of my part, used team, support, and measured the result. I also reflected on what I would improve next time. I kept the discussion respectful.",100,100,100,85,94,pass
748,Stress handling,senior_professional,How do you stay productive during deadlines?,"During a sprint review, I used a simple STAR structure. I focused on escalate, focus, prioritize, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",74,72,55,36,64,fail
749,Stress handling,mid_level_expert,How do you stay productive during deadlines?,"During a team task, I clarified the action, listened to concerns, took ownership of my part, used plan, focus, escalate, and measured the result. I also reflected on what I would improve next time. The experience improved my confidence.",76,71,89,78,67,fail
750,Attention to detail,mid_level_expert,How do you review your work before delivery?,"During a sprint review, I used a simple STAR structure. I focused on accuracy, edge cases, review, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",51,62,100,85,75,pass
751,Communication,fresher,Describe a time clear communication helped a project.,"In my last project, I used a simple STAR structure. I focused on summarize, updates, simple language, clarify, questions, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",61,60,79,57,64,fail
